id,slug,name,description
120,eat-healthy-food,Eat Healthy Food,"💭 Healthy food is good for your body, and your mind

You may notice that you feel tired and have trouble concentrating after a heavy meal. 

Eat healthy food for optimal performance.  

Michael Pollan put it simply: ""Eat real food. Not too much. Mostly plants"" 

——
https://bakadesuyo.com/2022/10/nutrition/"
121,w-worrier-warrior,W (Worrier) Warrior,"Don‘t be a worrier. Be a warrior.

Worrying is like a rocking chair. 
It gives you something to do but it gets you nowhere"
122,grow,Grow,"💬 Intellectual growth should commence at birth and cease only at death - Albert Einstein

Make sure you do something that helps you grow every day.

Like everything, growth compounds.

Little by little a little becomes a lot."
123,leverage,Leverage,"💬 When you combine ignorance and leverage, you get some pretty interesting results - Warren Buffet 

Look at what you have and how you can combine it to get the most out of it."
124,play-pretend,Play pretend,"Fake it until you make it.

You have to be before you can do (even if its just in your mind) and you have to do before you can have.

Fool yourself into it and it will happen , try 

// autogenic conditioning , German researcher (new habit)"
125,things-take-time,Things take time,"💬 You can’t produce a baby in one month by getting nine women pregnant.

No matter how great the talent or efforts, some things just take time. 

Good things take time, be patient.

Most “overnight successes” take 5-10 years. 

Remember, you are celebrated in public for the work you have done in private."
126,dig-your-well,Dig Your Well,"💭 Dig your well before you’re thirsty

There is great wisdom in preparing for the inevitable. 

The time to dig a well is not when you are weak and dying of thirst.

Plan ahead. Prepare."
127,top-20,Top 20%,"Being in the top 1% in any category or domain is extremely difficult and rare.

However, being in the top 20% in three different categories is quite easy.

Choose three categories where you can be in the top 20%.
By combining three different domains you will be very unique.

For example, you might be a great engineer who also has an eye for design and is good at public speaking."
128,low-hanging-fruits,Low hanging fruits,"💭 The lowest hanging fruits are the easiest to pick

When starting a project, complete the easiest tasks first.

Completing these will generate momentum which can be used to accomplish the larger tasks."
129,give-hugs,Give Hugs,"💭 Give (and receive) more hugs. 

Hugs reduce stress, improve communication, and lead to a happier and healthier life.

Oxytocin (the “cuddle hormone”) rises when we hug, touch, or sit close to someone else. 

More oxytocin increases happiness and reduces stress.

Give hugs, be happy."
130,gratitude-is-power,Gratitude is Power,"💭 Being grateful helps you change your mood instantly

It's impossible to be mad and grateful at the same time. 

Choose gratitude.

———

When you focus on what you have, you gain what you lack. 

When you focus on what you lack, you lose what you have. 

Replace “have to” with “get to”.  Realise that life is a gift and that you get to do the things you are doing."
131,domino-effect,Domino Effect,"💭 Take a little step that sets into motion increasingly larger results

Whatever you are trying to achieve or solve - find the ""lead domino"".

What is the action that makes everything else easier or obsolete?"
132,take-cold-showers,Take Cold Showers,"Start taking cold showers

Cold showers have a variety of benefits 
- Builds massive will power
- Increases alertness 
- Reduce stress
- Wakes you up / puts you to sleep
- Improves skin and hair
- Improves immunity and blood circulation
- Stimulates weight loss

Start off by switching between warm and cold water at first and slowly increasing the duration of the cold water.

Try a five day challenge and see how it goes."
133,ride-the-wave,Ride the wave,"💭 Take advantage of momentum

Get on the board at the right time and let the wave carry you."
134,choose-your-pain,Choose Your Pain,"💭 You can choose between two pains: discipline or regret

While discipline weighs ounces, regret weighs tons.

The small ""pain"" of discipline brushing your teeth every day or tending to your relationships or staying true to what you believe in is a lot smaller than the pain of regret you will feel if you don't."
135,interested-is-interesting,Interested is interesting,"💬 You can make more friends and build better relationships in two months by becoming and showing interest in other people than you can in two years by trying to get other people interested in you - Dale Carnegie 

A good way to show interest is asking great, thoughtful questions and most importantly, actively listening."
136,find-your-tribe,Find Your Tribe,"💭 The most basic human need is belonging. 

Find and surround yourself with likeminded people.

To do this, be authentically you. 

---

Also read up on the Five People Rule
https://www.happyhabits.art/p/five-people-rule

https://www.health.harvard.edu/blog/3-ways-to-create-community-and-counter-loneliness-202303082900"
137,burn-the-boats,Burn the boats,"Success comes from total commitments.
If you want to take the island, burn the boats."
